Week,Date,Team,Opponent,Player Name,PAT Att,PAT Made,FG Att Under30,FG Made Under30,FG Att 30-39,FG Made 30-39,FG Att 40-49,FG Made 40-49,FG Att 50Plus,FG Made 50Plus
1,9/4,BFA St. Albans,Rutland,Tyler Charron,3,2,0,0,1,1,0,0,0,0
2,9/10,BFA St. Albans,Seawolves,Tyler Charron,3,2,0,0,1,0,1,1,0,0
3,9/18,BFA St. Albans,Essex,Tyler Charron,4,4,0,0,0,0,0,0,0,0
1,9/4,Bellows Falls,North Country,Riley Whitcomb,2,1,0,0,1,1,0,0,0,0
2,9/11,Bellows Falls,Fair Haven,Riley Whitcomb,3,3,0,0,0,0,0,0,0,0
3,9/18,Bellows Falls,Brattleboro,Riley Whitcomb,4,3,0,0,1,1,0,0,0,0
1,9/4,Essex,St. Johnsbury,Logan Lafountain,4,3,0,0,0,0,0,0,0,0
2,9/10,Essex,Colchester,Logan Lafountain,5,4,1,0,0,0,0,0,0,0
3,9/18,Essex,BFA St. Albans,Logan Lafountain,4,4,0,0,0,0,0,0,0,0
1,9/5,Champlain Valley,Hartford,Garrett Marchand,3,2,0,0,1,1,0,0,1,0
2,9/12,Champlain Valley,Middlebury,Garrett Marchand,3,3,0,0,0,0,0,0,0,0
3,9/18,Champlain Valley,Seawolves,Garrett Marchand,3,3,1,0,0,0,0,0,0,0
1,9/4,Mt. Mansfield,Colchester,Nathan Sargent,3,3,0,0,1,1,0,0,0,0
2,9/12,Mt. Mansfield,Rice Memorial,Nathan Sargent,5,5,0,0,0,0,0,0,0,0
3,9/19,Mt. Mansfield,Union-32,Nathan Sargent,4,3,1,0,0,0,0,0,0,0
