Week,Date,Team,Opponent,Player Name,Rec,Yds,Drops,TD
1,9/4,BFA St. Albans,Rutland,Jordan Rousseau,2,20,0,1
1,9/4,BFA St. Albans,Rutland,Logan Deforge,5,35,1,0
2,9/10,BFA St. Albans,Seawolves,Jordan Rousseau,4,40,0,1
2,9/10,BFA St. Albans,Seawolves,Logan Deforge,3,24,1,0
3,9/18,BFA St. Albans,Essex,Jordan Rousseau,4,52,1,0
3,9/18,BFA St. Albans,Essex,Logan Deforge,2,28,0,0
1,9/4,Mt. Mansfield,Colchester,Bryce Whitcomb,6,54,0,0
1,9/4,Mt. Mansfield,Colchester,Wesley Gauthier,2,18,0,1
2,9/12,Mt. Mansfield,Rice Memorial,Bryce Whitcomb,3,33,0,1
2,9/12,Mt. Mansfield,Rice Memorial,Wesley Gauthier,4,56,0,0
3,9/19,Mt. Mansfield,Union-32,Bryce Whitcomb,3,39,1,0
3,9/19,Mt. Mansfield,Union-32,Wesley Gauthier,3,45,0,0
1,9/5,Burr & Burton Academy,Middlebury,Dylan Poulin,5,65,1,0
1,9/5,Burr & Burton Academy,Middlebury,Cody Bushey,7,63,0,0
2,9/11,Burr & Burton Academy,Mt. Anthony,Dylan Poulin,6,54,1,0
2,9/11,Burr & Burton Academy,Mt. Anthony,Cody Bushey,6,90,0,0
3,9/19,Burr & Burton Academy,Hartford,Dylan Poulin,6,60,1,1
3,9/19,Burr & Burton Academy,Hartford,Cody Bushey,4,60,0,0
1,9/5,Champlain Valley,Hartford,Cody Poulin,4,32,1,0
1,9/5,Champlain Valley,Hartford,Dylan Charron,2,24,1,0
2,9/12,Champlain Valley,Middlebury,Cody Poulin,4,32,1,0
2,9/12,Champlain Valley,Middlebury,Dylan Charron,2,22,0,0
3,9/18,Champlain Valley,Seawolves,Cody Poulin,6,84,0,0
3,9/18,Champlain Valley,Seawolves,Dylan Charron,2,26,1,0
1,9/4,Essex,St. Johnsbury,Wesley Pelkey,2,22,0,0
1,9/4,Essex,St. Johnsbury,Jackson Roberge,6,72,0,0
2,9/10,Essex,Colchester,Wesley Pelkey,7,98,0,0
2,9/10,Essex,Colchester,Jackson Roberge,7,112,1,0
3,9/18,Essex,BFA St. Albans,Wesley Pelkey,4,32,0,0
3,9/18,Essex,BFA St. Albans,Jackson Roberge,7,70,0,1
1,9/5,Middlebury,Burr & Burton Academy,Cody Gauthier,4,32,0,0
1,9/5,Middlebury,Burr & Burton Academy,Riley Lafountain,4,56,0,1
2,9/12,Middlebury,Champlain Valley,Cody Gauthier,2,24,0,0
2,9/12,Middlebury,Champlain Valley,Riley Lafountain,2,20,1,0
3,9/18,Middlebury,St. Johnsbury,Cody Gauthier,5,80,0,1
3,9/18,Middlebury,St. Johnsbury,Riley Lafountain,4,56,0,1
1,9/4,Mt. Anthony,Seawolves,Blake Kittell,3,36,1,0
1,9/4,Mt. Anthony,Seawolves,Riley Fortin,4,40,0,0
2,9/11,Mt. Anthony,Burr & Burton Academy,Blake Kittell,2,16,0,1
2,9/11,Mt. Anthony,Burr & Burton Academy,Riley Fortin,5,70,0,0
3,9/18,Mt. Anthony,Rutland,Blake Kittell,4,48,1,0
3,9/18,Mt. Anthony,Rutland,Riley Fortin,5,75,0,1
1,9/4,Rutland,BFA St. Albans,Jordan Menard,3,33,0,0
1,9/4,Rutland,BFA St. Albans,Mason Perron,6,84,1,0
2,9/11,Rutland,Hartford,Jordan Menard,2,22,0,0
2,9/11,Rutland,Hartford,Mason Perron,5,40,1,0
3,9/18,Rutland,Mt. Anthony,Jordan Menard,4,44,0,1
3,9/18,Rutland,Mt. Anthony,Mason Perron,2,22,1,1
1,9/4,Seawolves,Mt. Anthony,Bryce Ladd,3,39,0,1
1,9/4,Seawolves,Mt. Anthony,Wesley Sargent,2,28,1,1
2,9/10,Seawolves,BFA St. Albans,Bryce Ladd,3,27,0,0
2,9/10,Seawolves,BFA St. Albans,Wesley Sargent,3,33,1,0
3,9/18,Seawolves,Champlain Valley,Bryce Ladd,2,32,1,1
3,9/18,Seawolves,Champlain Valley,Wesley Sargent,4,40,0,0
1,9/4,St. Johnsbury,Essex,Cody Guyette,5,35,0,1
1,9/4,St. Johnsbury,Essex,Colton Fortin,6,72,0,0
2,9/11,St. Johnsbury,Brattleboro,Cody Guyette,2,16,0,0
2,9/11,St. Johnsbury,Brattleboro,Colton Fortin,3,33,0,0
3,9/18,St. Johnsbury,Middlebury,Cody Guyette,7,91,0,1
3,9/18,St. Johnsbury,Middlebury,Colton Fortin,3,39,0,1
1,9/4,Colchester,Mt. Mansfield,Aiden Pelkey,6,78,1,0
1,9/4,Colchester,Mt. Mansfield,Caleb Gauthier,2,16,1,1
2,9/10,Colchester,Essex,Aiden Pelkey,7,84,0,0
2,9/10,Colchester,Essex,Caleb Gauthier,4,32,1,0
3,9/18,Colchester,North Country,Aiden Pelkey,5,75,0,0
3,9/18,Colchester,North Country,Caleb Gauthier,3,42,0,1
1,9/4,Fair Haven,Union-32,Brody Pelkey,7,105,0,1
1,9/4,Fair Haven,Union-32,Aiden Tetreault,7,112,0,1
2,9/11,Fair Haven,Bellows Falls,Brody Pelkey,7,105,0,0
2,9/11,Fair Haven,Bellows Falls,Aiden Tetreault,5,70,0,1
3,9/18,Fair Haven,Lyndon Institute,Brody Pelkey,7,105,0,0
3,9/18,Fair Haven,Lyndon Institute,Aiden Tetreault,6,42,0,0
1,9/5,Hartford,Champlain Valley,Cole Rousseau,2,20,0,0
1,9/5,Hartford,Champlain Valley,Austin Marchand,2,14,0,1
2,9/11,Hartford,Rutland,Cole Rousseau,6,96,0,1
2,9/11,Hartford,Rutland,Austin Marchand,2,32,0,0
3,9/19,Hartford,Burr & Burton Academy,Cole Rousseau,7,56,0,1
3,9/19,Hartford,Burr & Burton Academy,Austin Marchand,2,24,0,0
1,9/4,Lyndon Institute,Spaulding,Trevor Gauthier,3,30,0,0
1,9/4,Lyndon Institute,Spaulding,Ethan Sherwin,4,32,0,1
2,9/12,Lyndon Institute,Union-32,Trevor Gauthier,3,48,0,1
2,9/12,Lyndon Institute,Union-32,Ethan Sherwin,3,24,0,0
3,9/18,Lyndon Institute,Fair Haven,Trevor Gauthier,7,98,1,0
3,9/18,Lyndon Institute,Fair Haven,Ethan Sherwin,7,84,1,0
1,9/4,Brattleboro,Springfield,Colton Sherwin,3,27,0,0
1,9/4,Brattleboro,Springfield,Aiden Villemaire,7,70,0,1
