Week,Date,Time,Team1,Team2,Team1Score,Team2Score
1,9/4,7:00,BFA St. Albans,Rutland,,
1,9/4,7:00,Bellows Falls,North Country,,
1,9/5,7:00,Burr & Burton Academy,Middlebury,,
1,9/5,1:00,Champlain Valley,Hartford,,
1,9/4,7:00,Colchester,Mt. Mansfield,,
1,9/4,7:00,Fair Haven,Union-32,,
1,9/5,1:00,Mill River,Otter Valley,,
1,9/4,7:00,Mt. Abraham,Milton,,
1,9/4,7:00,Mt. Anthony,Seawolves,,
1,9/5,2:00,"Newport, NH",Woodstock,,
1,9/5,1:00,Rice Memorial,Fairfax/Lamoille,,
1,9/4,7:00,Spaulding,Lyndon Institute,,
1,9/4,7:00,Springfield,Brattleboro,,
1,9/4,7:00,St. Johnsbury,Essex,,
1,9/5,1:00,Windsor,Missisquoi,,
2,9/10,7:00,BFA St. Albans,Seawolves,,
2,9/11,7:00,Brattleboro,St. Johnsbury,,
2,9/12,1:00,Champlain Valley,Middlebury,,
2,9/10,7:00,Colchester,Essex,,
2,9/11,7:00,Fair Haven,Bellows Falls,,
2,9/12,1:00,Fairfax/Lamoille,Otter Valley,,
2,9/12,1:00,Lyndon Institute,Union-32,,
2,9/12,1:00,Missisquoi,Milton,,
2,9/11,7:00,Mt. Anthony,Burr & Burton Academy,,
2,9/12,1:00,Mt. Mansfield,Rice Memorial,,
2,9/11,7:00,Rutland,Hartford,,
2,9/11,7:00,Spaulding,Mill River,,
2,9/12,1:00,Windsor,Mt. Abraham,,
2,9/11,7:00,Woodstock,North Country,,
3,9/18,7:00,Brattleboro,Bellows Falls,,
3,9/19,1:00,Burr & Burton Academy,Hartford,,
3,9/18,7:00,Essex,BFA St. Albans,,
3,9/18,7:00,Fair Haven,Lyndon Institute,,
3,9/18,7:00,Middlebury,St. Johnsbury,,
3,9/19,1:00,Mill River,Windsor,,
3,9/19,3:00,Missisquoi,Spaulding,,
3,9/17,7:00,Mt. Abraham,Fairfax/Lamoille,,
3,9/19,1:00,Mt. Mansfield,Union-32,,
3,9/18,7:00,North Country,Colchester,,
3,9/18,7:00,Otter Valley,Rice Memorial,,
3,9/18,7:00,Rutland,Mt. Anthony,,
3,9/18,7:00,Seawolves,Champlain Valley,,
3,9/18,7:00,Springfield,Woodstock,,
4,9/25,7:00,BFA St. Albans,Colchester,,
4,9/26,1:00,Champlain Valley,St. Johnsbury,,
4,9/25,7:00,Essex,Rutland,,
4,9/26,1:00,Fairfax/Lamoille,Missisquoi,,
4,9/25,7:00,Hartford,Brattleboro,,
4,9/26,1:00,Lyndon Institute,Mt. Mansfield,,
4,9/25,7:00,Middlebury,Mt. Anthony,,
4,9/26,1:00,Mill River,Springfield,,
4,9/25,7:00,Mt. Abraham,Woodstock,,
4,9/25,7:00,North Country,Fair Haven,,
4,9/26,1:00,Rice Memorial,Spaulding,,
4,9/25,7:00,Seawolves,Burr & Burton Academy,,
4,9/25,7:00,Union-32,Bellows Falls,,
4,9/26,1:00,Windsor,Milton,,
5,10/2,7:00,Brattleboro,Burr & Burton Academy,,
5,10/2,7:00,Essex,Champlain Valley,,
5,10/2,7:00,Hartford,Middlebury,,
5,10/3,1:00,Lyndon Institute,North Country,,
5,10/3,1:00,Missisquoi,Mill River,,
5,10/2,7:00,Mt. Anthony,BFA St. Albans,,
5,10/3,1:00,Mt. Mansfield,Fair Haven,,
5,10/3,7:00,Otter Valley,Windsor,,
5,10/3,1:00,Rice Memorial,Mt. Abraham,,
5,10/2,7:00,Seawolves,Rutland,,
5,10/3,7:00,Spaulding,Milton,,
5,10/2,7:00,St. Johnsbury,Colchester,,
5,10/2,7:00,Union-32,Springfield,,
5,10/2,7:00,Woodstock,Fairfax/Lamoille,,
6,10/9,7:00,Bellows Falls,Lyndon Institute,,
6,10/10,1:00,Champlain Valley,Burr & Burton Academy,,
6,10/9,7:00,Colchester,Fair Haven,,
6,10/10,1:00,Fairfax/Lamoille,Spaulding,,
6,10/9,7:00,Middlebury,Essex,,
6,10/9,7:00,Milton,North Country,,
6,10/9,7:00,Mt. Abraham,Missisquoi,,
6,10/9,7:00,Mt. Anthony,Hartford,,
6,10/10,1:00,Mt. Mansfield,BFA St. Albans,,
6,10/8,7:00,Rutland,Brattleboro,,
6,10/9,7:00,Springfield,Windsor,,
6,10/8,7:00,St. Johnsbury,Seawolves,,
6,10/9,7:00,Union-32,Rice Memorial,,
6,10/9,7:00,Woodstock,Otter Valley,,
7,10/16,7:00,Bellows Falls,Mt. Mansfield,,
7,10/16,7:00,Burr & Burton Academy,Rutland,,
7,10/16,7:00,Colchester,Champlain Valley,,
7,10/16,7:00,Essex,Seawolves,,
7,10/15,7:00,Fair Haven,Mt. Anthony,,
7,10/15,7:00,Hartford,Lyndon Institute,,
7,10/16,7:00,Middlebury,Brattleboro,,
7,10/17,1:00,Mill River,Woodstock,,
7,10/15,6:30,Milton,Fairfax/Lamoille,,
7,10/15,7:00,North Country,Union-32,,
7,10/16,7:00,Otter Valley,Springfield,,
7,10/17,1:00,Rice Memorial,Missisquoi,,
7,10/16,7:00,Spaulding,Mt. Abraham,,
7,10/16,7:00,St. Johnsbury,BFA St. Albans,,
8,10/23,7:00,BFA St. Albans,Champlain Valley,,
8,10/23,7:00,Brattleboro,Mt. Anthony,,
8,10/23,7:00,Burr & Burton Academy,Essex,,
8,10/24,1:00,Fairfax/Lamoille,Mill River,,
8,10/23,7:00,Hartford,Fair Haven,,
8,10/24,1:00,Lyndon Institute,St. Johnsbury,,
8,10/23,6:30,Milton,Rice Memorial,,
8,10/23,7:00,North Country,Mt. Mansfield,,
8,10/24,7:00,Otter Valley,Mt. Abraham,,
8,10/23,7:00,Rutland,Middlebury,,
8,10/23,7:00,Seawolves,Colchester,,
8,10/24,7:00,Springfield,Bellows Falls,,
8,10/23,7:00,Union-32,Spaulding,,
8,10/22,7:00,Woodstock,Windsor,,
