Year,Division,Champion,Score,Opponent
2025,Division 1,Middlebury,13-7,St. Johnsbury Academy
2025,Division 2,Colchester,27-20,Fair Haven
2025,Division 3,Bellows Falls,54-20,Woodstock
2024,Division 1,Champlain Valley,41-14,Rutland
2024,Division 2,Fair Haven,35-22,Rice Memorial
2024,Division 3,Woodstock,65-14,Otter Valley
2023,Division 1,Burr & Burton,35-28,Hartford
2023,Division 2,North Country Union,21-14,Colchester
2023,Division 3,Windsor,36-0,Woodstock
2022,Division 1,Champlain Valley,24-19,Middlebury
2022,Division 2,Mt. Anthony,24-17,Bellows Falls
2022,Division 3,Windsor,35-21,Fairfax/Lamoille
2021,Division 1,Essex,21-19,Champlain Valley
2021,Division 2,Bellows Falls,57-35,Mt. Anthony
2021,Division 3,Windsor,53-7,Fairfax/Lamoille
2019,Division 1,Burr & Burton,47-20,St. Johnsbury Academy
2019,Division 2,Brattleboro,46-7,Bellows Falls
2019,Division 3,Poultney,17-8,Fairfax/Lamoille
2018,Division 1,Mt. Mansfield,38-27,Rutland
2018,Division 2,Burr & Burton,63-14,Fair Haven
2018,Division 3,Woodstock,28-21,Poultney
2017,Division 1,St. Johnsbury Academy,33-32,Hartford
2017,Division 2,Fair Haven,46-20,Bellows Falls
2017,Division 3,Windsor,13-7,Woodstock
2016,Division 1,Hartford,24-14,St. Johnsbury Academy
2016,Division 2,Bellows Falls,20-14,Burr & Burton
2016,Division 3,Windsor,42-6,Otter Valley
2015,Division 1,Rutland,35-7,Middlebury
2015,Division 2,Burr & Burton,28-7,Bellows Falls
2015,Division 3,Otter Valley,33-14,U-32
2014,Division 1,Middlebury,28-7,St. Johnsbury Academy
2014,Division 2,Rice Memorial,60-14,Fair Haven
2014,Division 3,BFA-Fairfax,42-30,Otter Valley
2013,Division 1,Middlebury,26-6,South Burlington
2013,Division 2,Rice Memorial,27-21,Lyndon Institute
2013,Division 3,Woodstock,20-19,Mill River
2012,Division 1,Hartford,35-27,BFA-St. Albans
2012,Division 2,Rice Memorial,23-14,Bellows Falls
2012,Division 3,Woodstock,38-18,BFA-Fairfax
2011,Division 1,Hartford,42-6,Middlebury
2011,Division 2,Fair Haven,57-34,Burr & Burton
2011,Division 3,Woodstock,27-7,Windsor
2010,Division 1,Hartford,33-0,BFA-St. Albans
2010,Division 2,Rice Memorial,38-20,Middlebury
2010,Division 3,Bellows Falls,39-22,Windsor
2009,Division 1,Essex,48-14,Rutland
2009,Division 2,Colchester,22-14,Champlain Valley
2009,Division 3,Windsor,19-8,Springfield
2008,Division 1,Hartford,26-14,Rutland
2008,Division 2,Spaulding,42-20,Mt. Mansfield
2008,Division 3,Springfield,52-28,Windsor
2007,Division 1,Hartford,13-7,South Burlington
2007,Division 2,Spaulding,34-7,Mt. Mansfield
2007,Division 3,Poultney,33-22,Windsor
2006,Division 1,Rutland,27-14,Middlebury
2006,Division 2,Burlington,27-14,South Burlington
2006,Division 3,Woodstock,35-14,Colchester
2006,Division 4,U-32,62-0,Mt. Mansfield
2005,Division 1,Mt. St. Joseph,21-0,Hartford
2005,Division 2,South Burlington,14-0,Bellows Falls
2005,Division 3,Woodstock,38-0,Rice Memorial
2005,Division 4,Otter Valley,23-20,U-32
2004,Division 1,Rutland,27-12,Middlebury
2004,Division 2,South Burlington,48-0,North Country Union
2004,Division 3,Rice Memorial,37-14,Woodstock
2004,Division 4,Mt. Abraham,30-20,U-32
2003,Division 1,Rutland,20-6,Essex
2003,Division 2,Bellows Falls,43-0,Burlington
2003,Division 3,Woodstock,20-19,Milton
2003,Division 4,Mt. Abraham,36-8,U-32
2002,Division 1,Middlebury,3-0,Hartford
2002,Division 2,Bellows Falls,33-30,Spaulding
2002,Division 3,Woodstock,34-12,Milton
2002,Division 4,U-32,14-12,Mt. Abraham
2001,Division 1,Rutland,21-7,Essex
2001,Division 2,Fair Haven,31-12,Bellows Falls
2001,Division 3,Woodstock,39-21,Windsor
2001,Division 4,U-32,26-7,Otter Valley
2000,Division 1,Rutland,7-0,Essex
2000,Division 2,Fair Haven,21-13,Lyndon Institute
2000,Division 3,Woodstock,34-28,Poultney
2000,Division 4,U-32,24-14,Mt. Abraham
1999,Division 1,Mt. St. Joseph,26-6,Middlebury
1999,Division 2,Burlington,41-14,South Burlington
1999,Division 3,Windsor,3-0,Mill River
1999,Division 4,Montpelier,48-12,U-32
1998,Division 1,Mt. St. Joseph,25-13,Rutland
1998,Division 2,Bellows Falls,38-26,Lyndon Institute
1998,Division 3,South Burlington,40-26,Woodstock
1998,Division 4,Colchester,27-12,Milton
1997,Division 1,Rutland,24-14,Middlebury
1997,Division 2,North Country Union,60-0,Springfield
1997,Division 3,Lyndon Institute,35-22,Woodstock
1997,Division 4,Milton,50-34,Winooski
1996,Division 1,Rutland,20-7,Middlebury
1996,Division 2,North Country Union,20-0,St. Johnsbury Academy
1996,Division 3,Woodstock,17-14,Lyndon Institute
1996,Division 4,Montpelier,40-26,Milton
1995,Division 1,Middlebury,14-13,Hartford
1995,Division 2,Fair Haven,30-13,St. Johnsbury Academy
