Week,Rank,Team,Player,Description,VideoURL,WinningRank
1,1,PLACEHOLDER TEAM,PLACEHOLDER PLAYER,PLACEHOLDER — replace with real play description,,
1,2,PLACEHOLDER TEAM,PLACEHOLDER PLAYER,PLACEHOLDER — replace with real play description,,
1,3,PLACEHOLDER TEAM,PLACEHOLDER PLAYER,PLACEHOLDER — replace with real play description,,
1,4,PLACEHOLDER TEAM,PLACEHOLDER PLAYER,PLACEHOLDER — replace with real play description,,
1,5,PLACEHOLDER TEAM,PLACEHOLDER PLAYER,PLACEHOLDER — replace with real play description,,
1,6,PLACEHOLDER TEAM,PLACEHOLDER PLAYER,PLACEHOLDER — replace with real play description,,
1,7,PLACEHOLDER TEAM,PLACEHOLDER PLAYER,PLACEHOLDER — replace with real play description,,
1,8,PLACEHOLDER TEAM,PLACEHOLDER PLAYER,PLACEHOLDER — replace with real play description,,
1,9,PLACEHOLDER TEAM,PLACEHOLDER PLAYER,PLACEHOLDER — replace with real play description,,
1,10,PLACEHOLDER TEAM,PLACEHOLDER PLAYER,PLACEHOLDER — replace with real play description,,
